frame_index,detection_index,x1,y1,x2,y2,cat_confidence,orange_prob,goblin_prob,pred_label,pred_confidence
621,0,638,632,875,758,0.533695,1.000000,0.000000,orange,1.000000
624,0,638,632,875,759,0.541223,1.000000,0.000000,orange,1.000000
627,0,638,632,875,758,0.519095,1.000000,0.000000,orange,1.000000
630,0,638,632,875,758,0.578820,1.000000,0.000000,orange,1.000000
633,0,638,632,875,758,0.576070,1.000000,0.000000,orange,1.000000
636,0,638,632,874,759,0.700872,1.000000,0.000000,orange,1.000000
639,0,638,632,874,759,0.733575,1.000000,0.000000,orange,1.000000
642,0,638,632,875,759,0.779193,1.000000,0.000000,orange,1.000000
645,0,638,632,875,758,0.792106,1.000000,0.000000,orange,1.000000
648,0,637,632,875,761,0.799391,1.000000,0.000000,orange,1.000000
651,0,637,632,875,761,0.802693,1.000000,0.000000,orange,1.000000
654,0,637,632,875,760,0.776901,1.000000,0.000000,orange,1.000000
657,0,637,632,875,760,0.766779,1.000000,0.000000,orange,1.000000
660,0,639,632,875,755,0.852343,1.000000,0.000000,orange,1.000000
663,0,639,632,875,755,0.863165,1.000000,0.000000,orange,1.000000
666,0,640,632,875,755,0.868496,1.000000,0.000000,orange,1.000000
669,0,639,632,875,755,0.870060,1.000000,0.000000,orange,1.000000
672,0,640,632,874,755,0.827219,1.000000,0.000000,orange,1.000000
675,0,639,632,874,755,0.826837,1.000000,0.000000,orange,1.000000
678,0,640,632,874,755,0.851946,1.000000,0.000000,orange,1.000000
681,0,639,632,874,755,0.856593,1.000000,0.000000,orange,1.000000
684,0,640,632,870,755,0.831367,1.000000,0.000000,orange,1.000000
687,0,640,632,870,755,0.841446,1.000000,0.000000,orange,1.000000
690,0,640,631,869,755,0.786259,0.999999,0.000001,orange,0.999999
693,0,640,632,869,755,0.803366,0.999999,0.000001,orange,0.999999
696,0,639,632,869,755,0.602846,0.999999,0.000001,orange,0.999999
699,0,639,632,870,755,0.620258,1.000000,0.000001,orange,1.000000
702,0,640,631,872,755,0.792249,1.000000,0.000001,orange,1.000000
705,0,640,631,872,755,0.788753,0.999999,0.000001,orange,0.999999
708,0,640,631,873,757,0.822746,1.000000,0.000000,orange,1.000000
711,0,640,631,872,757,0.815715,1.000000,0.000000,orange,1.000000
714,0,639,631,872,757,0.792667,0.999999,0.000001,orange,0.999999
717,0,639,631,872,757,0.808444,0.999999,0.000001,orange,0.999999
720,0,639,631,872,758,0.744095,0.999999,0.000001,orange,0.999999
723,0,638,631,872,758,0.726135,0.999998,0.000002,orange,0.999998
726,0,639,631,872,758,0.743964,0.999999,0.000001,orange,0.999999
